,names,urls,prices,state
5,Christmas tree farm hideaway pond Delight! And Winter Escape!!,https://www.tentrr.com/explore/New-York/Christmas-tree-farm-hideaway-pond-Delight-And-Winter-Escape?start=&end=&number_of_people=2,100,New York
6,Wedding Hill Farm,https://www.tentrr.com/explore/New-York/Wedding-Hill-Farm?start=&end=&number_of_people=2,100,New York
7,Dreamroad Farm Pine Tree,https://www.tentrr.com/explore/New-York/Dreamroad-Farm-Pine-Tree?start=&end=&number_of_people=2,80,New York
8,Mills Norrie State Park Site E,https://www.tentrr.com/explore/New-York/Mills-Norrie-State-Park-Site-E?start=&end=&number_of_people=2,100,New York
9,Ancient Oak in Historic Orchard   Northern Spy,https://www.tentrr.com/explore/New-York/Ancient-Oak-in-Historic-Orchard-Northern-Spy?start=&end=&number_of_people=2,120,New York
10,Shady Knolls,https://www.tentrr.com/explore/New-York/Shady-Knolls?start=&end=&number_of_people=2,140,New York
11,Orchard Tent Overlooking Mohonk   Golden Russet,https://www.tentrr.com/explore/New-York/Orchard-Tent-Overlooking-Mohonk-Golden-Russet?start=&end=&number_of_people=2,120,New York
0,Belle Vue Pond and River Haven,https://www.tentrr.com/explore/New-York/Belle-Vue-Pond-and-River-Haven?start=&end=&number_of_people=2,150,New York
1,Bradley Farm Campsite,https://www.tentrr.com/explore/New-York/Bradley-Farm-Campsite?start=&end=&number_of_people=2,96,New York
2,A Riverwalk,https://www.tentrr.com/explore/New-York/A-Riverwalk?start=&end=&number_of_people=2,125,New York
3,Orchard Tent Esopus,https://www.tentrr.com/explore/New-York/Orchard-Tent-Esopus?start=&end=&number_of_people=2,120,New York
4,Hudson Valley Haven,https://www.tentrr.com/explore/New-York/Hudson-Valley-Haven?start=&end=&number_of_people=2,280,New York
5,Hudson Valley Hilltop 2,https://www.tentrr.com/explore/New-York/Hudson-Valley-Hilltop-2?start=&end=&number_of_people=2,135,New York
6,Camp Coal Tree,https://www.tentrr.com/explore/New-York/Camp-Coal-Tree?start=&end=&number_of_people=2,140,New York
7,Sundown ,https://www.tentrr.com/explore/New-York/Sundown?start=&end=&number_of_people=2,104,New York
8,Perfect Pitch Tent Site w Loo House and Shower,https://www.tentrr.com/explore/New-York/Perfect-Pitch-Tent-Site-w-Loo-House-and-Shower?start=&end=&number_of_people=2,79,New York
9,Lake View Retreat,https://www.tentrr.com/explore/New-York/Lake-View-Retreat?start=&end=&number_of_people=2,96,New York
10,Mt Otsego Sunrise Meadow,https://www.tentrr.com/explore/New-York/Mt-Otsego-Sunrise-Meadow?start=&end=&number_of_people=2,120,New York
11,Triple Creek,https://www.tentrr.com/explore/New-York/Triple-Creek?start=&end=&number_of_people=2,44,New York
0,Welcome to the Jungle at the Tentrr Catskill Retreat - Single Camp with River View,https://www.tentrr.com/explore/New-York/Welcome-to-the-Jungle-at-the-Tentrr-Catskill-Retreat-Single-Camp-with-River-View?start=&end=&number_of_people=2,120,New York
1,Mills Norrie State Park Site C,https://www.tentrr.com/explore/New-York/Mills-Norrie-State-Park-Site-C?start=&end=&number_of_people=2,135,New York
2,Starlight Meadow,https://www.tentrr.com/explore/New-York/Starlight-Meadow?start=&end=&number_of_people=2,60,New York
3,Sand Hill Farm,https://www.tentrr.com/explore/New-York/Sand-Hill-Farm?start=&end=&number_of_people=2,88,New York
4,Piney Woods Hilltop Retreat,https://www.tentrr.com/explore/New-York/Piney-Woods-Hilltop-Retreat?start=&end=&number_of_people=2,150,New York
5,Running W Retreat,https://www.tentrr.com/explore/New-York/Running-W-Retreat?start=&end=&number_of_people=2,80,New York
6,Forest Fairy Tale By The Creek,https://www.tentrr.com/explore/New-York/Forest-Fairy-Tale-By-The-Creek?start=&end=&number_of_people=2,50,New York
7,Tranquility on the Farm:  Mountain View,https://www.tentrr.com/explore/New-York/Tranquility-on-the-Farm-Mountain-View?start=&end=&number_of_people=2,150,New York
8,Miss Franny's Farm,https://www.tentrr.com/explore/New-York/Miss-Franny-s-Farm?start=&end=&number_of_people=2,99,New York
9,Lower Pond Tent,https://www.tentrr.com/explore/New-York/Lower-Pond-Tent?start=&end=&number_of_people=2,140,New York
10,Roses Brook Retreat,https://www.tentrr.com/explore/New-York/Roses-Brook-Retreat?start=&end=&number_of_people=2,108,New York
11,Mount Sibley,https://www.tentrr.com/explore/New-York/Mount-Sibley?start=&end=&number_of_people=2,120,New York
